0001 function mpc = case118
0002 %CASE118    Power flow data for IEEE 118 bus test case.
0003 %   Please see CASEFORMAT for details on the case file format.
0004 %   This data was converted from IEEE Common Data Format
0005 %   (ieee118cdf.txt) on 15-Oct-2014 by cdf2matp, rev. 2393
0006 %   See end of file for warnings generated during conversion.
0007 %
0008 %   Converted from IEEE CDF file from:
0009 %       http://www.ee.washington.edu/research/pstca/
0010 %   With baseKV data take from the PSAP format file from the same site,
0011 %   added manually on 10-Mar-2006.
0012 %
0013 %   08/25/93 UW ARCHIVE           100.0  1961 W IEEE 118 Bus Test Case
0014 
0015 %   MATPOWER
0016 %   $Id: case118.m 2394 2014-10-15 20:39:39Z ray $
0017 
0018 %% MATPOWER Case Format : Version 2
0019 mpc.version = '2';
0020 
0021 %%-----  Power Flow Data  -----%%
0022 %% system MVA base
0023 mpc.baseMVA = 100;
0024 
0025 %% bus data
0026 %    bus_i    type    Pd    Qd    Gs    Bs    area    Vm    Va    baseKV    zone    Vmax    Vmin
0353     92    93    0.0258    0.0848    0.0218    0    0    0    0    0    1    -360    360;
0354     92    94    0.0481    0.158    0.0406    0    0    0    0    0    1    -360    360;
0355     93    94    0.0223    0.0732    0.01876    0    0    0    0    0    1    -360    360;
0356     94    95    0.0132    0.0434    0.0111    0    0    0    0    0    1    -360    360;
0357     80    96    0.0356    0.182    0.0494    0    0    0    0    0    1    -360    360;
0358     82    96    0.0162    0.053    0.0544    0    0    0    0    0    1    -360    360;
0359     94    96    0.0269    0.0869    0.023    0    0    0    0    0    1    -360    360;
0360     80    97    0.0183    0.0934    0.0254    0    0    0    0    0    1    -360    360;
0361     80    98    0.0238    0.108    0.0286    0    0    0    0    0    1    -360    360;
0362     80    99    0.0454    0.206    0.0546    0    0    0    0    0    1    -360    360;
0363     92    100    0.0648    0.295    0.0472    0    0    0    0    0    1    -360    360;
0364     94    100    0.0178    0.058    0.0604    0    0    0    0    0    1    -360    360;
0365     95    96    0.0171    0.0547    0.01474    0    0    0    0    0    1    -360    360;
0366     96    97    0.0173    0.0885    0.024    0    0    0    0    0    1    -360    360;
0367     98    100    0.0397    0.179    0.0476    0    0    0    0    0    1    -360    360;
0368     99    100    0.018    0.0813    0.0216    0    0    0    0    0    1    -360    360;
0369     100    101    0.0277    0.1262    0.0328    0    0    0    0    0    1    -360    360;
0370     92    102    0.0123    0.0559    0.01464    0    0    0    0    0    1    -360    360;
0371     101    102    0.0246    0.112    0.0294    0    0    0    0    0    1    -360    360;
0372     100    103    0.016    0.0525    0.0536    0    0    0    0    0    1    -360    360;
0373     100    104    0.0451    0.204    0.0541    0    0    0    0    0    1    -360    360;
0374     103    104    0.0466    0.1584    0.0407    0    0    0    0    0    1    -360    360;
0375     103    105    0.0535    0.1625    0.0408    0    0    0    0    0    1    -360    360;
0376     100    106    0.0605    0.229    0.062    0    0    0    0    0    1    -360    360;
0377     104    105    0.00994    0.0378    0.00986    0    0    0    0    0    1    -360    360;
0378     105    106    0.014    0.0547    0.01434    0    0    0    0    0    1    -360    360;
0379     105    107    0.053    0.183    0.0472    0    0    0    0    0    1    -360    360;
0380     105    108    0.0261    0.0703    0.01844    0    0    0    0    0    1    -360    360;
0381     106    107    0.053    0.183    0.0472    0    0    0    0    0    1    -360    360;
0382     108    109    0.0105    0.0288    0.0076    0    0    0    0    0    1    -360    360;
0383     103    110    0.03906    0.1813    0.0461    0    0    0    0    0    1    -360    360;
0384     109    110    0.0278    0.0762    0.0202    0    0    0    0    0    1    -360    360;
0385     110    111    0.022    0.0755    0.02    0    0    0    0    0    1    -360    360;
0386     110    112    0.0247    0.064    0.062    0    0    0    0    0    1    -360    360;
0387     17    113    0.00913    0.0301    0.00768    0    0    0    0    0    1    -360    360;
0388     32    113    0.0615    0.203    0.0518    0    0    0    0    0    1    -360    360;
0389     32    114    0.0135    0.0612    0.01628    0    0    0    0    0    1    -360    360;
0390     27    115    0.0164    0.0741    0.01972    0    0    0    0    0    1    -360    360;
0391     114    115    0.0023    0.0104    0.00276    0    0    0    0    0    1    -360    360;
0392     68    116    0.00034    0.00405    0.164    0    0    0    0    0    1    -360    360;
0393     12    117    0.0329    0.14    0.0358    0    0    0    0    0    1    -360    360;
0394     75    118    0.0145    0.0481    0.01198    0    0    0    0    0    1    -360    360;
0395     76    118    0.0164    0.0544    0.01356    0    0    0    0    0    1    -360    360;
0396 ];
0397 
0398 %%-----  OPF Data  -----%%
0399 %% generator cost data
0400 %    1    startup    shutdown    n    x1    y1    ...    xn    yn
0401 %    2    startup    shutdown    n    c(n-1)    ...    c0
0402 mpc.gencost = [
0403     2    0    0    3    0.01    40    0;
0404     2    0    0    3    0.01    40    0;
0405     2    0    0    3    0.01    40    0;
0406     2    0    0    3    0.01    40    0;
0407     2    0    0    3    0.0222222222    20    0;
0408     2    0    0    3    0.117647059    20    0;
0409     2    0    0    3    0.01    40    0;
0410     2    0    0    3    0.01    40    0;
0411     2    0    0    3    0.01    40    0;
0412     2    0    0    3    0.01    40    0;
0413     2    0    0    3    0.0454545455    20    0;
0414     2    0    0    3    0.0318471338    20    0;
0415     2    0    0    3    0.01    40    0;
0416     2    0    0    3    1.42857143    20    0;
0417     2    0    0    3    0.01    40    0;
0418     2    0    0    3    0.01    40    0;
0419     2    0    0    3    0.01    40    0;
0420     2    0    0    3    0.01    40    0;
0421     2    0    0    3    0.01    40    0;
0422     2    0    0    3    0.526315789    20    0;
0423     2    0    0    3    0.0490196078    20    0;
0424     2    0    0    3    0.208333333    20    0;
0425     2    0    0    3    0.01    40    0;
0426     2    0    0    3    0.01    40    0;
0427     2    0    0    3    0.064516129    20    0;
0428     2    0    0    3    0.0625    20    0;
0429     2    0    0    3    0.01    40    0;
0430     2    0    0    3    0.0255754476    20    0;
0431     2    0    0    3    0.0255102041    20    0;
0432     2    0    0    3    0.0193648335    20    0;
0433     2    0    0    3    0.01    40    0;
0434     2    0    0    3    0.01    40    0;
0435     2    0    0    3    0.01    40    0;
0436     2    0    0    3    0.01    40    0;
0437     2    0    0    3    0.01    40    0;
0438     2    0    0    3    0.01    40    0;
0439     2    0    0    3    0.0209643606    20    0;
0440     2    0    0    3    0.01    40    0;
0441     2    0    0    3    2.5    20    0;
0442     2    0    0    3    0.0164744646    20    0;
0443     2    0    0    3    0.01    40    0;
0444     2    0    0    3    0.01    40    0;
0445     2    0    0    3    0.01    40    0;
0446     2    0    0    3    0.01    40    0;
0447     2    0    0    3    0.0396825397    20    0;
0448     2    0    0    3    0.25    20    0;
0449     2    0    0    3    0.01    40    0;
0450     2    0    0    3    0.01    40    0;
0451     2    0    0    3    0.01    40    0;
0452     2    0    0    3    0.01    40    0;
0453     2    0    0    3    0.277777778    20    0;
0454     2    0    0    3    0.01    40    0;
0455     2    0    0    3    0.01    40    0;
0456     2    0    0    3    0.01    40    0;
0457 ];
0458 
0459 %% bus names
0460 mpc.bus_name = {
0461     'Riversde  V2';
0462     'Pokagon   V2';
0463     'HickryCk  V2';
0464     'NwCarlsl  V2';
0465     'Olive     V2';
0466     'Kankakee  V2';
0467     'JacksnRd  V2';
0468     'Olive     V1';
0469     'Bequine   V1';
0470     'Breed     V1';
0471     'SouthBnd  V2';
0472     'TwinBrch  V2';
0473     'Concord   V2';
0474     'GoshenJt  V2';
0475     'FtWayne   V2';
0476     'N. E.     V2';
0477     'Sorenson  V2';
0478     'McKinley  V2';
0479     'Lincoln   V2';
0480     'Adams     V2';
0481     'Jay       V2';
0482     'Randolph  V2';
0483     'CollCrnr  V2';
0484     'Trenton   V2';
0485     'TannrsCk  V2';
0486     'TannrsCk  V1';
0487     'Madison   V2';
0488     'Mullin    V2';
0489     'Grant     V2';
0490     'Sorenson  V1';
0491     'DeerCrk   V2';
0492     'Delaware  V2';
0493     'Haviland  V2';
0494     'Rockhill  V2';
0495     'WestLima  V2';
0496     'Sterling  V2';
0497     'EastLima  V2';
0498     'EastLima  V1';
0499     'NwLibrty  V2';
0500     'West End  V2';
0501     'S.Tiffin  V2';
0502     'Howard    V2';
0503     'S.Kenton  V2';
0504     'WMVernon  V2';
0505     'N.Newark  V2';
0506     'W.Lancst  V2';
0507     'Crooksvl  V2';
0508     'Zanesvll  V2';
0509     'Philo     V2';
0510     'WCambrdg  V2';
0511     'Newcmrst  V2';
0512     'SCoshoct  V2';
0513     'Wooster   V2';
0514     'Torrey    V2';
0515     'Wagenhls  V2';
0516     'Sunnysde  V2';
0517     'WNwPhil1  V2';
0518     'WNwPhil2  V2';
0519     'Tidd      V2';
0520     'SWKammer  V2';
0521     'W.Kammer  V2';
0522     'Natrium   V2';
0523     'Tidd      V1';
0524     'Kammer    V1';
0525     'Muskngum  V1';
0526     'Muskngum  V2';
0527     'Summerfl  V2';
0528     'Sporn     V1';
0529     'Sporn     V2';
0530     'Portsmth  V2';
0531     'NPortsmt  V2';
0532     'Hillsbro  V2';
0533     'Sargents  V2';
0534     'Bellefnt  V2';
0535     'SthPoint  V2';
0536     'Darrah    V2';
0537     'Turner    V2';
0538     'Chemical  V2';
0539     'CapitlHl  V2';
0540     'CabinCrk  V2';
0541     'Kanawha   V1';
0542     'Logan     V2';
0543     'Sprigg    V2';
0544     'BetsyLne  V2';
0545     'BeaverCk  V2';
0546     'Hazard    V2';
0547     'Pinevlle  V3';
0548     'Fremont   V2';
0549     'ClinchRv  V2';
0550     'Holston   V2';
0551     'HolstonT  V2';
0552     'Saltvlle  V2';
0553     'Tazewell  V2';
0554     'Switchbk  V2';
0555     'Caldwell  V2';
0556     'Baileysv  V2';
0557     'Sundial   V2';
0558     'Bradley   V2';
0559     'Hinton    V2';
0560     'Glen Lyn  V2';
0561     'Wythe     V2';
0562     'Smythe    V2';
0563     'Claytor   V2';
0564     'Hancock   V2';
0565     'Roanoke   V2';
0566     'Cloverdl  V2';
0567     'Reusens   V2';
0568     'Blaine    V2';
0569     'Franklin  V2';
0570     'Fieldale  V2';
0571     'DanRiver  V2';
0572     'Danville  V2';
0573     'Deer Crk  V2';
0574     'WMedford  V2';
0575     'Medford   V2';
0576     'KygerCrk  V2';
0577     'Corey     V2';
0578     'WHuntngd  V2';
0579 };
